Province,Number of Case,area,population
Adana,241,13844,2237940
Adiyaman,32,7337,626465
Afyonkarahisar,18,14016,729483
Agri,31,11099,536199
Aksaray,5,7659,416367
Amasya,38,5628,337800
Ankara,860,25632,5639076
Antalya,102,20177,2511700
Ardahan,5,4934,97319
Artvin,20,7393,170875
Aydin,20,8116,1110972
Balikesir,106,14583,1228620
Bartin,9,2330,198249
Batman,9,4477,608659
Bayburt,23,3746,84843
Bilecik,16,4179,219427
Bingol,10,8004,279812
Bitlis,22,8294,348115
Bolu,19,8313,316126
Burdur,3,7175,270796
Bursa,259,10813,3056120
Canakkale,30,9817,542157
Cankiri,25,7542,195789
Corum,35,12428,530864
Denizli,86,12134,1037208
Diyarbakir,46,15168,1756353
Duzce,32,2492,392166
Edirne,91,6145,413903
Elazig,12,9383,591098
Erzincan,15,11815,234747
Erzurum,78,25006,762062
Eskisehir,118,13960,887475
Gaziantep,49,6803,2069364
Giresun,73,7025,448400
Gumushane,12,6668,164521
Hakkari,2,7095,280991
Hatay,32,5524,1628894
Igdir,26,3664,199442
Isparta,289,8946,444914
Istanbul,12231,5461,15519267
Izmir,1105,11891,4367251
Kahramanmaras,28,14520,1154102
Karabuk,20,4142,248458
Karaman,14,8678,253279
Kars,18,10193,285410
Kastamonu,26,13064,379405
Kayseri,130,16970,1407409
Kirikkale,23,4791,283017
Kirklareli,49,6459,361836
Kirsehir,7,6584,242938
Kilis,17,1412,142490
Kocaeli,500,3397,1953035
Konya,601,40838,2232374
Kutahya,5,11634,579257
Malatya,66,12259,800165
Manisa,100,13339,1440611
Mardin,51,8780,838778
Mersin,17,16010,1840425
Mugla,46,12654,983142
Mus,14,8650,408809
Nevsehir,27,5485,303010
Nigde,12,7234,362861
Ordu,88,5861,754198
Osmaniye,47,3320,538759
Rize,101,3835,343212
Sakarya,337,4824,1029650
Samsun,167,9725,1348542
Siirt,44,5717,330280
Sinop,35,5717,218243
Sivas,80,28164,638956
Sanliurfa,18,19242,2073614
Sirnak,9,7078,529615
Tekirdag,121,6190,1055412
Tokat,90,10042,612747
Trabzon,87,4628,808974
Tunceli,6,7582,84660
Usak,40,5555,370509
Van,24,20921,1136757
Yalova,64,798,270976
Yozgat,15,13690,421200
Zonguldak,197,3342,596053
